footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,collection_time
0,7,7,1,6,6,36,3,1,1,2025-05-10 09:00:00
190,1,3,3,5,1,20,4,1,0,2025-05-10 09:00:05
31,7,2,2,6,1,24,6,1,0,2025-05-10 09:00:10
83,4,3,4,5,1,28,6,1,0,2025-05-10 09:00:15
640,7,5,6,4,0,68,6,1,0,2025-05-10 09:00:20
110,3,3,4,6,1,21,4,1,0,2025-05-10 09:00:25
100,7,5,6,4,1,77,4,1,0,2025-05-10 09:00:30
31,1,5,4,5,4,21,4,1,0,2025-05-10 09:00:35
180,7,4,6,3,3,31,4,1,0,2025-05-10 09:00:40
2800,0,3,3,7,0,39,3,1,0,2025-05-10 09:00:45
1600,0,3,2,4,4,26,2,1,0,2025-05-10 09:00:50
330,5,4,3,6,1,31,4,1,0,2025-05-10 09:00:55
190,2,5,4,6,5,22,4,1,1,2025-05-10 09:01:00
100,7,4,4,6,0,42,5,1,0,2025-05-10 09:01:05
1000,7,5,7,4,0,74,1,1,0,2025-05-10 09:01:10
0,7,6,7,5,0,62,3,1,0,2025-05-10 09:01:15
130,7,4,4,5,1,58,3,1,0,2025-05-10 09:01:20
5,5,3,3,6,1,24,6,1,0,2025-05-10 09:01:25
33,7,6,2,6,5,51,4,1,1,2025-05-10 09:01:30
19,2,2,1,4,0,36,3,2,0,2025-05-10 09:01:35
74,7,4,4,7,2,88,2,2,0,2025-05-10 09:01:40
190,0,2,4,6,2,20,4,2,0,2025-05-10 09:01:45
12,3,4,6,3,2,27,3,2,0,2025-05-10 09:01:50
0,7,6,1,6,6,44,4,2,1,2025-05-10 09:01:55
19,0,4,2,2,1,45,3,2,0,2025-05-10 09:02:00
0,2,4,3,6,1,21,4,2,0,2025-05-10 09:02:05
390,5,3,4,7,1,40,5,2,0,2025-05-10 09:02:10
40,7,4,3,4,0,40,6,2,0,2025-05-10 09:02:15
3,3,5,5,4,1,48,3,2,0,2025-05-10 09:02:20
450,3,4,7,1,0,34,3,2,0,2025-05-10 09:02:25
350,0,3,4,7,2,26,2,2,0,2025-05-10 09:02:30
64,3,4,4,2,1,60,2,3,0,2025-05-10 09:02:35
3,0,4,4,3,0,32,3,3,0,2025-05-10 09:02:40
0,1,4,3,7,1,31,3,3,0,2025-05-10 09:02:45
640,7,7,5,7,4,33,3,3,1,2025-05-10 09:02:50
0,7,3,4,6,0,57,3,3,0,2025-05-10 09:02:55
12,7,4,3,6,1,84,3,3,0,2025-05-10 09:03:00
62,6,7,2,7,5,75,3,3,1,2025-05-10 09:03:05
31,2,7,2,6,6,19,4,3,1,2025-05-10 09:03:10
0,1,3,2,6,1,47,6,3,0,2025-05-10 09:03:15
180,6,5,5,5,0,51,2,3,0,2025-05-10 09:03:20
640,3,6,4,4,5,40,3,3,0,2025-05-10 09:03:25
110,0,2,3,6,1,22,6,3,0,2025-05-10 09:03:30
100,1,7,7,5,6,35,2,3,0,2025-05-10 09:03:35
100,7,4,4,7,2,43,5,3,0,2025-05-10 09:03:40
11,3,6,6,3,2,76,6,3,0,2025-05-10 09:03:45
0,7,4,3,1,6,45,3,3,1,2025-05-10 09:03:50
4,7,4,6,6,0,88,2,3,0,2025-05-10 09:03:55
35,6,4,4,2,1,46,3,4,0,2025-05-10 09:04:00
0,1,3,4,5,2,22,6,4,0,2025-05-10 09:04:05
0,7,5,1,6,5,68,3,4,1,2025-05-10 09:04:10
0,2,5,2,6,5,38,3,4,1,2025-05-10 09:04:15
33,7,4,3,6,3,69,2,4,0,2025-05-10 09:04:20
270,2,5,4,3,0,67,3,4,0,2025-05-10 09:04:25
45,7,2,4,6,0,88,4,4,0,2025-05-10 09:04:30
40,3,6,2,5,5,68,3,4,1,2025-05-10 09:04:35
6,1,5,2,4,2,76,3,4,1,2025-05-10 09:04:40
2,7,4,4,6,0,72,2,4,0,2025-05-10 09:04:45
0,0,6,2,6,6,37,6,4,1,2025-05-10 09:04:50
35,3,4,2,6,0,69,3,4,0,2025-05-10 09:04:55
83,0,2,4,6,0,33,6,4,0,2025-05-10 09:05:00
3500,7,2,2,6,0,34,4,4,0,2025-05-10 09:05:05
100,2,4,4,7,2,30,3,4,0,2025-05-10 09:05:10
350,2,3,3,6,1,19,3,4,0,2025-05-10 09:05:15
100,3,4,6,2,0,44,3,4,0,2025-05-10 09:05:20
67,1,4,4,7,1,64,3,4,0,2025-05-10 09:05:25
30,5,7,7,2,0,37,4,4,0,2025-05-10 09:05:30
0,7,6,3,5,4,31,5,5,1,2025-05-10 09:05:35
0,0,6,1,5,4,88,4,5,1,2025-05-10 09:05:40
6,7,6,2,6,6,77,4,5,1,2025-05-10 09:05:45
350,1,4,5,6,5,30,6,5,0,2025-05-10 09:05:50
400,1,2,3,7,1,32,4,5,0,2025-05-10 09:05:55
15,7,6,2,6,6,59,1,5,1,2025-05-10 09:06:00
0,0,4,4,4,3,47,4,5,0,2025-05-10 09:06:05
3,2,4,6,5,1,22,3,5,0,2025-05-10 09:06:10
22,5,4,2,6,2,55,3,5,0,2025-05-10 09:06:15
64,2,2,1,3,0,24,2,5,0,2025-05-10 09:06:20
32,5,3,7,4,1,65,1,5,0,2025-05-10 09:06:25
390,7,3,6,2,2,24,3,5,0,2025-05-10 09:06:30
0,7,3,4,5,3,30,3,5,0,2025-05-10 09:06:35
0,7,4,5,2,3,73,3,5,0,2025-05-10 09:06:40
59,5,3,3,5,1,73,5,5,0,2025-05-10 09:06:45
0,6,4,3,6,2,91,1,5,0,2025-05-10 09:06:50
35,7,3,2,5,0,71,2,5,0,2025-05-10 09:06:55
0,2,6,4,5,4,34,4,5,1,2025-05-10 09:07:00
170,7,4,3,2,0,48,2,6,0,2025-05-10 09:07:05
12,1,6,2,6,5,42,4,6,1,2025-05-10 09:07:10
40,4,6,5,4,0,72,2,6,0,2025-05-10 09:07:15
31,2,3,4,6,6,20,4,6,1,2025-05-10 09:07:20
31,7,2,2,7,0,22,4,6,0,2025-05-10 09:07:25
1600,1,3,3,6,1,24,6,6,0,2025-05-10 09:07:30
1,1,4,2,7,2,39,6,6,0,2025-05-10 09:07:35
4,7,6,1,6,6,83,5,6,1,2025-05-10 09:07:40
190,0,6,2,6,6,39,3,6,1,2025-05-10 09:07:45
53,3,5,3,6,1,33,5,6,0,2025-05-10 09:07:50
31,7,4,3,6,1,53,3,6,1,2025-05-10 09:07:55
16,7,5,3,6,5,82,3,6,1,2025-05-10 09:08:00
33,5,4,3,5,6,82,3,6,1,2025-05-10 09:08:05
0,3,5,3,6,5,47,6,7,1,2025-05-10 09:08:10
0,3,4,2,7,4,68,3,7,0,2025-05-10 09:08:15
0,7,4,3,5,0,84,6,7,0,2025-05-10 09:08:20
27,2,6,1,6,5,35,5,7,1,2025-05-10 09:08:25
84,7,4,5,6,1,67,2,7,0,2025-05-10 09:08:30
22,3,5,3,5,4,33,2,7,1,2025-05-10 09:08:35
0,3,3,3,5,0,49,7,7,0,2025-05-10 09:08:40
3500,0,4,3,7,0,91,1,7,0,2025-05-10 09:08:45
390,7,4,5,3,1,43,3,7,0,2025-05-10 09:08:50
0,7,4,3,2,6,65,4,7,0,2025-05-10 09:08:55
16,7,5,6,3,0,69,3,7,0,2025-05-10 09:09:00
200,0,5,5,4,1,56,4,8,0,2025-05-10 09:09:05
640,0,2,3,5,0,24,6,8,0,2025-05-10 09:09:10
0,7,4,4,5,0,77,3,8,0,2025-05-10 09:09:15
45,7,6,3,7,0,74,3,8,0,2025-05-10 09:09:20
12,0,7,3,6,6,25,6,8,1,2025-05-10 09:09:25
20,7,6,2,5,4,85,1,8,1,2025-05-10 09:09:30
7300,5,7,7,6,3,21,2,8,0,2025-05-10 09:09:35
64,7,6,3,1,0,24,4,8,0,2025-05-10 09:09:40
13,7,5,4,7,4,73,4,8,0,2025-05-10 09:09:45
190,0,4,5,3,2,37,3,8,0,2025-05-10 09:09:50
9,4,4,5,1,2,35,4,8,0,2025-05-10 09:09:55
0,7,4,4,7,0,47,3,8,0,2025-05-10 09:10:00
170,2,4,2,6,6,21,3,8,1,2025-05-10 09:10:05
640,7,3,6,4,0,55,5,8,0,2025-05-10 09:10:10
9,4,6,3,6,6,30,6,8,1,2025-05-10 09:10:15
0,4,5,3,6,4,76,7,8,1,2025-05-10 09:10:20
7300,5,3,4,3,3,36,4,8,0,2025-05-10 09:10:25
2800,0,1,1,7,0,38,3,9,0,2025-05-10 09:10:30
0,7,2,3,5,0,67,3,9,0,2025-05-10 09:10:35
30,7,7,3,7,6,70,2,9,1,2025-05-10 09:10:40
44,7,5,3,7,2,78,4,9,0,2025-05-10 09:10:45
7300,1,2,2,7,3,27,6,9,0,2025-05-10 09:10:50
330,4,3,5,6,1,51,4,9,0,2025-05-10 09:10:55
3,0,6,7,3,5,33,4,9,0,2025-05-10 09:11:00
51,2,6,1,5,6,80,6,9,1,2025-05-10 09:11:05
29,5,4,1,6,1,79,1,9,0,2025-05-10 09:11:10
630,2,6,4,5,4,66,1,9,1,2025-05-10 09:11:15
170,0,4,1,6,0,32,3,10,0,2025-05-10 09:11:20
33,7,4,5,7,0,70,2,10,0,2025-05-10 09:11:25
0,3,2,3,6,3,42,3,10,0,2025-05-10 09:11:30
9,5,5,4,5,5,73,4,10,1,2025-05-10 09:11:35
22,4,4,4,6,0,87,2,10,0,2025-05-10 09:11:40
100,0,7,5,1,1,30,5,10,0,2025-05-10 09:11:45
2,2,4,4,5,3,52,3,10,0,2025-05-10 09:11:50
0,6,5,3,6,1,62,4,10,0,2025-05-10 09:11:55
50,7,6,3,4,0,67,3,10,0,2025-05-10 09:12:00
15,4,6,3,4,4,37,6,10,0,2025-05-10 09:12:05
3,4,3,5,7,0,37,4,10,0,2025-05-10 09:12:10
720,5,1,5,6,1,64,6,10,0,2025-05-10 09:12:15
640,7,1,1,5,0,34,3,10,0,2025-05-10 09:12:20
5,7,4,4,7,0,70,3,10,0,2025-05-10 09:12:25
24,2,6,2,6,6,31,5,10,1,2025-05-10 09:12:30
22,7,2,2,6,0,29,6,11,0,2025-05-10 09:12:35
55,7,4,5,4,1,71,2,11,0,2025-05-10 09:12:40
0,2,4,4,4,0,67,1,11,0,2025-05-10 09:12:45
1600,5,4,4,6,0,41,7,11,0,2025-05-10 09:12:50
170,6,1,2,6,0,49,6,11,0,2025-05-10 09:12:55
1000,7,4,4,5,0,42,5,11,0,2025-05-10 09:13:00
63,0,6,3,2,0,78,2,11,0,2025-05-10 09:13:05
110,0,4,1,6,1,24,3,11,0,2025-05-10 09:13:10
16,7,4,6,6,1,29,3,11,0,2025-05-10 09:13:15
100,3,4,2,6,5,39,5,11,1,2025-05-10 09:13:20
7300,3,5,3,6,1,19,4,11,0,2025-05-10 09:13:25
22,2,4,2,7,1,32,5,11,0,2025-05-10 09:13:30
71,3,4,2,6,5,69,3,11,1,2025-05-10 09:13:35
900,4,5,2,5,5,83,3,11,1,2025-05-10 09:13:40
35,7,4,1,5,4,76,2,11,1,2025-05-10 09:13:45
2,7,7,1,2,0,62,2,11,0,2025-05-10 09:13:50
83,2,3,3,6,0,47,7,11,0,2025-05-10 09:13:55
370,5,6,7,4,0,35,3,11,0,2025-05-10 09:14:00
12,0,4,5,3,4,23,3,11,0,2025-05-10 09:14:05
370,7,4,4,1,1,79,4,11,0,2025-05-10 09:14:10
100,7,6,2,6,5,64,5,11,1,2025-05-10 09:14:15
470,7,6,2,4,5,70,4,11,1,2025-05-10 09:14:20
22,7,6,1,6,6,87,5,11,1,2025-05-10 09:14:25
2800,0,3,6,1,0,28,2,12,0,2025-05-10 09:14:30
47,5,3,5,7,1,58,3,12,0,2025-05-10 09:14:35
900,5,4,4,6,1,85,2,12,0,2025-05-10 09:14:40
330,7,3,6,4,0,62,3,12,0,2025-05-10 09:14:45
84,0,3,2,7,1,26,6,12,0,2025-05-10 09:14:50
0,0,6,2,5,5,28,3,12,1,2025-05-10 09:14:55
33,3,6,1,7,6,88,2,12,1,2025-05-10 09:15:00
53,7,2,3,6,0,57,6,12,0,2025-05-10 09:15:05
8,7,2,2,6,0,78,3,12,0,2025-05-10 09:15:10
2,7,4,4,2,0,56,3,12,0,2025-05-10 09:15:15
0,0,4,6,3,3,46,5,12,0,2025-05-10 09:15:20
0,2,4,4,3,5,20,3,12,1,2025-05-10 09:15:25
0,0,5,6,4,1,24,4,12,0,2025-05-10 09:15:30
0,7,5,2,6,2,72,4,12,0,2025-05-10 09:15:35
15,7,2,4,7,1,51,4,12,0,2025-05-10 09:15:40
900,0,6,2,5,6,34,6,12,1,2025-05-10 09:15:45
30,2,4,2,6,1,21,4,12,0,2025-05-10 09:15:50
0,7,4,4,6,2,74,7,12,0,2025-05-10 09:15:55
170,3,4,4,6,1,48,1,12,0,2025-05-10 09:16:00
900,2,3,3,7,5,28,3,12,0,2025-05-10 09:16:05
0,6,7,1,7,5,38,2,12,1,2025-05-10 09:16:10
1600,7,4,6,1,0,70,3,12,0,2025-05-10 09:16:15
0,7,4,5,4,0,72,2,12,0,2025-05-10 09:16:20
2800,0,4,5,6,0,41,3,12,0,2025-05-10 09:16:25
110,5,3,4,5,1,50,7,12,0,2025-05-10 09:16:30
1,7,6,2,5,5,73,3,12,1,2025-05-10 09:16:35
3,5,5,2,4,0,79,6,12,0,2025-05-10 09:16:40
0,4,5,1,4,5,76,2,12,1,2025-05-10 09:16:45
22,0,5,3,5,5,62,5,12,1,2025-05-10 09:16:50
63,3,6,2,6,6,30,6,12,1,2025-05-10 09:16:55
290,0,6,3,6,5,35,4,12,1,2025-05-10 09:17:00
2,7,1,2,7,1,66,4,12,0,2025-05-10 09:17:05
40,0,2,4,6,0,35,4,12,0,2025-05-10 09:17:10
